OX,OY,DX,DY
40.758259,-73.985352,40.694843,-73.952538
40.758125,-73.985207,40.750057,-73.991577
40.758392,-73.985092,40.716946,-73.998306
40.758091,-73.985374,40.756916,-73.961044
40.758572,-73.985008,40.737736,-73.984131
40.759342,-73.985069,40.75095,-73.986595
40.758595,-73.985611,40.752506,-73.978493
40.759071,-73.984772,40.747299,-73.98571
40.758598,-73.985451,40.763668,-73.97879
40.758461,-73.985352,40.76358,-73.979088
40.758919,-73.984917,40.749981,-73.997833
40.758099,-73.985565,40.744591,-74.002853
40.7593,-73.985252,40.784657,-73.982971
40.75835,-73.985199,40.74588,-73.988388
40.758911,-73.9851,40.75724,-73.969734
40.759129,-73.984573,40.751179,-73.99086
40.759579,-73.984398,40.75016,-73.983124
40.758018,-73.985344,40.7491,-73.992355
40.759277,-73.984444,40.754536,-73.995064
40.758362,-73.985909,40.748402,-73.977997
40.758907,-73.984879,40.744011,-73.987556
40.758377,-73.985001,40.725967,-73.986565
40.7593,-73.98452,40.735371,-73.996109
